Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
jaguar main dealer near me,12,12,390,44,0.99,https://www.grange.co.uk/jaguar,1,0,0.00,1,22700000,"[66,66,81,66,54,66,66,54,100,66,66,66]",2025-08-30,"Local pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle",transactional,Organic
jaguar main dealer near me,5,5,390,44,0.99,https://www.grange.co.uk/jaguar/find-a-dealer/jaguar-brentwood,9,0.04,8.00,1,22700000,"[66,66,81,66,54,66,66,54,100,66,66,66]",2025-08-30,"Local pack, Sitelinks, Video, Ads bottom, Related searches, Ads middle",transactional,Organic
history of the rolls royce,7,7,390,41,0.00,https://www.grange.co.uk/rolls-royce/heritage,2,0.01,0.00,0.03,27500000,"[82,82,100,100,100,66,100,100,100,100,82,53]",2025-09-06,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
range rover sale,72,72,390,27,0.40,https://www.grange.co.uk/land-rover/used-cars/land-rover,0,0,0.00,1,128000000,"[16,20,20,20,20,20,20,20,25,16,20,20]",2025-08-21,"Local pack, Image pack, Sitelinks, Video, Image, Find results on, Related searches",transactional,Organic
range rover sale,37,37,390,27,0.40,https://www.grange.co.uk/land-rover,0,0,0.00,1,128000000,"[16,20,20,20,20,20,20,20,25,16,20,20]",2025-08-21,"Local pack, Image pack, Sitelinks, Video, Image, Find results on, Related searches",transactional,Organic
getz car,25,25,390,23,0.35,https://www.grange.co.uk/used-cars/hyundai/getz,0,0,0.00,0.58,18300000,"[7,10,10,7,81,81,54,44,67,29,44,100]",2025-08-19,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",Organic
grange motors ireland,79,79,390,16,0.84,https://www.grange.co.uk/used-cars,0,0,0.00,0.07,637000,"[81,81,81,100,81,54,81,35,29,100,100,54]",2025-08-24,"Local pack, Image pack, Sitelinks, Video, Find results on, Related searches",commercial,Organic
grange motors ireland,76,76,390,16,0.84,https://careers.grange.co.uk/about-us,0,0,0.00,0.07,637000,"[81,81,81,100,81,54,81,35,29,100,100,54]",2025-08-24,"Local pack, Image pack, Sitelinks, Video, Find results on, Related searches",commercial,Image pack
grange motors ireland,25,25,390,16,0.84,https://www.grange.co.uk/,0,0,0.00,0.07,637000,"[81,81,81,100,81,54,81,35,29,100,100,54]",2025-08-24,"Local pack, Image pack, Sitelinks, Video, Find results on, Related searches",commercial,Organic
doves vauxhall southampton southampton,4,4,390,12,1.33,https://www.grange.co.uk/used-cars/hyundai/doves-vauxhall-southampton,5,0.02,6.00,0.96,175000,"[66,66,66,66,66,44,81,28,100,81,81,44]",2025-08-28,"Image pack, Sitelinks, Related searches",navigational,Organic
bentley second hand,30,30,390,24,0.45,https://www.grange.co.uk/bentley,0,0,0.00,1,49900000,"[10,7,7,12,54,100,100,44,36,29,81,12]",2025-09-01,"Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
bentley second hand,7,7,390,24,0.45,https://www.grange.co.uk/bentley/used-cars/bentley,11,0.05,4.00,1,49900000,"[10,7,7,12,54,100,100,44,36,29,81,12]",2025-09-01,"Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
aston martin solihull,4,4,390,21,1.24,https://www.grange.co.uk/aston-martin/used-cars?branch=aston-martin-birmingham,25,0.12,31.00,0.57,1110000,"[44,67,54,44,36,44,36,36,29,36,29,29]",2025-10-03,"Knowledge panel, Video, Image, Related searches",informational,Organic
aston martin solihull,1,1,390,21,1.24,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-birmingham,96,0.48,119.00,0.57,1110000,"[44,67,54,44,36,44,36,36,29,36,29,29]",2025-10-03,"Knowledge panel, Video, Image, Related searches",informational,Organic
new car dealership,80,80,390,78,2.11,https://www.grange.co.uk/,0,0,0.00,0.3,233000000,"[10,7,5,10,5,7,20,13,16,20,36,41]",2025-08-31,"Local pack, Sitelinks, Image, Find results on, Related searches",commercial,Organic
bentley museum east sussex,93,93,390,18,0.00,https://www.grange.co.uk/bentley/find-a-dealer/bentley-sussex,0,0,0.00,0.02,228000,"[100,67,100,36,23,19,23,12,15,100,54,29]",2025-08-31,"Local pack, Sitelinks, Video, Image, Find results on, Related searches",commercial,Organic
jaguar used car sales,25,25,390,25,0.34,https://www.grange.co.uk/jaguar/used-cars?branch=jaguar-brentwood,0,0,0.00,1,42500000,"[44,100,81,81,66,66,81,66,44,54,23,23]",2025-08-28,"Image pack, Image, Related searches",transactional,Organic
jaguar used car sales,6,6,390,25,0.34,https://www.grange.co.uk/jaguar/used-cars/jaguar,3,0.01,1.00,1,42500000,"[44,100,81,81,66,66,81,66,44,54,23,23]",2025-08-28,"Image pack, Image, Related searches",transactional,Organic
land rover garages,35,35,390,53,1.73,https://www.grange.co.uk/land-rover,0,0,0.00,0.66,38700000,"[48,72,39,26,48,32,32,39,39,21,32,32]",2025-08-29,"Local pack, Image, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic
fiat punti,28,28,390,25,0.29,https://www.grange.co.uk/used-cars/fiat/punto,0,0,0.00,0.76,143000000,"[54,36,44,54,44,67,44,44,54,23,54,7]",2025-09-07,"Image pack, Video, Image, People also ask, Related searches","informational, transactional",Organic
mclaren 570s spider,20,20,390,25,0.90,https://www.grange.co.uk/mclaren/used-cars/mclaren/570s-spider,0,0,0.00,0.68,2380000,"[54,44,44,44,100,29,67,36,44,36,44,36]",2025-09-06,"Image pack, Video, Image, Related searches",transactional,Organic
range rover hereford,49,49,390,9,0.87,https://www.grange.co.uk/land-rover,0,0,0.00,0.78,87,"[81,100,100,100,100,66,100,66,66,66,54,43]",2025-08-31,"Knowledge panel, Image pack, Video, Image, Related searches",informational,Organic
2025 subaru forester,24,24,390,40,0.60,https://www.grange.co.uk/subaru/new-cars/forester,0,0,0.00,0.86,60800000,"[19,23,23,44,36,54,66,81,100,66,100,54]",2025-08-27,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
mazda cars northampton,25,25,390,22,0.97,https://www.grange.co.uk/jaguar/used-cars/jaguar/mazda-northampton-motors,0,0,0.00,0.72,228000,"[66,66,81,66,66,66,81,54,54,35,54,35]",2025-09-07,"Knowledge panel, Image pack, Related searches","informational, transactional",Organic
mazda cars northampton,19,19,390,22,0.97,https://www.grange.co.uk/used-cars/mazda-northampton-motors,0,0,0.00,0.72,228000,"[66,66,81,66,66,66,81,54,54,35,54,35]",2025-09-07,"Knowledge panel, Image pack, Related searches","informational, transactional",Organic
jaguar northamptonshire,70,70,390,16,0.84,https://www.grange.co.uk/jaguar/used-cars/jaguar/mazda-northampton-motors,0,0,0.00,0.81,990000,"[100,66,44,81,66,66,81,44,23,66,54,44]",2025-08-22,"Knowledge panel, Image pack, Sitelinks, Image, People also ask, Related searches",informational,Organic
lambo urus for sale,34,34,390,14,0.12,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,0,0,0.00,0.98,7560000,"[11,59,9,14,11,100,21,88,32,72,4,48]",2025-08-23,"Image pack, Sitelinks, Video, Image, Related searches",transactional,Organic
db11 for sale,12,12,390,14,0.17,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db11,5,0.02,0.00,1,2520000,"[100,81,81,66,100,100,100,66,81,81,100,81]",2025-09-08,"Image pack, Sitelinks, Video, Image, Related searches",transactional,Organic
range rover evoque hatchback,35,35,390,17,1.64,https://www.grange.co.uk/land-rover/used-cars/land-rover/range-rover-evoque,0,0,0.00,0.89,10900000,"[16,16,8,20,36,76,13,100,24,20,45,16]",2025-09-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",commercial,Organic
range rover sport insurance,44,44,390,19,3.80,https://www.grange.co.uk/land-rover/news/news-lr-insurance-offer,0,0,0.00,0.85,24000000,"[48,39,39,32,32,32,39,32,39,39,39,26]",2025-08-27,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
jaguar car convertible,34,34,390,16,0.11,https://www.grange.co.uk/used-cars/jaguar-f-type/convertible,0,0,0.00,0.92,36500000,"[81,81,66,66,54,66,54,54,44,36,44,29]",2025-08-18,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums","informational, transactional",Organic
swindon land rover dealer,5,5,390,22,0.75,https://www.grange.co.uk/land-rover/used-cars,3,0.01,2.00,0.79,109000,"[54,54,54,66,54,54,66,23,23,66,66,44]",2025-08-30,"Knowledge panel, Image pack, Sitelinks, Image, Ads top, Ads bottom, Related searches, Ads middle","informational, transactional",Organic
swindon land rover dealer,3,3,390,22,0.75,https://www.grange.co.uk/,7,0.03,5.00,0.79,109000,"[54,54,54,66,54,54,66,23,23,66,66,44]",2025-08-30,"Knowledge panel, Image pack, Sitelinks, Image, Ads top, Ads bottom, Related searches, Ads middle","informational, transactional",Organic
cost of range rover cars,80,80,390,37,0.28,https://www.grange.co.uk/land-rover,0,0,0.00,0.54,33200000,"[65,44,16,34,16,0,0,0,0,0,0,0]",2025-08-27,"Image pack, Sitelinks, Image, Video Carousel, People also ask, Related searches, Discussions and forums",transactional,Organic
cost of range rover cars,46,46,390,37,0.28,https://www.grange.co.uk/land-rover/used-cars/land-rover/range-rover,0,0,0.00,0.54,33200000,"[65,44,16,34,16,0,0,0,0,0,0,0]",2025-08-27,"Image pack, Sitelinks, Image, Video Carousel, People also ask, Related searches, Discussions and forums",transactional,Organic
rolls royce new,7,7,390,39,0.42,https://www.grange.co.uk/rolls-royce/new-cars,1,0,0.00,0.07,73600000,"[5,5,5,6,55,55,5,36,62,10,45,20]",2025-09-07,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
car nissan note,32,32,390,22,0.31,https://www.grange.co.uk/used-cars/nissan/note,0,0,0.00,0.89,125000000,"[54,44,44,44,44,44,66,100,81,54,66,54]",2025-09-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums","commercial, informational",Organic
rolls royce motor cars factory,78,78,390,52,0.00,https://www.grange.co.uk/rolls-royce/provenance-certified-pre-owned,0,0,0.00,0.04,4480000,"[44,44,54,54,44,44,100,15,23,67,19,29]",2025-08-20,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
rolls royce motor cars factory,36,36,390,52,0.00,https://www.grange.co.uk/rolls-royce/heritage,0,0,0.00,0.04,4480000,"[44,44,54,54,44,44,100,15,23,67,19,29]",2025-08-20,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
accent hyundai,22,22,390,31,0.50,https://www.grange.co.uk/used-cars/hyundai/accent,0,0,0.00,0.28,50700000,"[37,37,25,25,20,46,2,2,2,11,8,5]",2025-08-26,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
jaguar land rover f pace,35,35,390,33,0.43,https://www.grange.co.uk/jaguar/used-cars/jaguar/f-pace,0,0,0.00,1,14800000,"[1,1,1,1,5,11,11,25,7,100,68,4]",2025-09-08,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums","informational, transactional",Organic
range rover evoque used for sale,24,24,390,21,0.46,https://www.grange.co.uk/land-rover/used-cars/land-rover/range-rover-evoque,0,0,0.00,1,9510000,"[44,66,100,66,81,44,54,54,29,29,54,54]",2025-08-30,"Image pack, Sitelinks, Related searches",transactional,Organic
james bentley motors,30,30,390,27,1.32,https://www.grange.co.uk/bentley,0,0,0.00,0.4,10,"[81,100,81,66,100,66,81,54,81,81,100,66]",2025-11-09,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
jaguar parts near me,64,64,390,34,0.46,https://www.grange.co.uk/jaguar/find-a-dealer/jaguar-hatfield,0,0,0.00,0.94,74500000,"[100,81,81,81,66,66,81,66,81,66,66,66]",2025-08-30,"Local pack, Sitelinks, Related searches",transactional,Organic
jaguar parts near me,7,7,390,34,0.46,https://www.grange.co.uk/jaguar/find-a-dealer/jaguar-brentwood,9,0.04,4.00,0.94,74500000,"[100,81,81,81,66,66,81,66,81,66,66,66]",2025-08-30,"Local pack, Sitelinks, Related searches",transactional,Organic
interior of a rolls royce phantom,64,64,390,31,0.00,https://www.grange.co.uk/rolls-royce/new-cars/phantom,0,0,0.00,0.1,7940000,"[81,81,44,44,81,44,100,81,81,35,15,44]",2025-11-07,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Discussions and forums",informational,Organic
station wagons,3,3,390,22,0.76,https://www.grange.co.uk/ineos-grenadier/new-cars/station-wagon,9,0.04,6.00,0.41,39800000,"[36,67,45,45,55,36,30,16,30,10,8,8]",2025-08-24,"Instant answer, Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",informational,Organic
buy lamborghini,52,52,390,39,0.29,https://www.grange.co.uk/lamborghini,0,0,0.00,0.99,89000000,"[44,54,54,44,66,44,44,54,66,54,54,54]",2025-08-31,"Local pack, Image pack, Sitelinks, Video, Image, Find results on, Related searches, Discussions and forums",transactional,Organic
buy lamborghini,39,39,390,39,0.29,https://www.grange.co.uk/lamborghini/used-cars/lamborghini,0,0,0.00,0.99,89000000,"[44,54,54,44,66,44,44,54,66,54,54,54]",2025-08-31,"Local pack, Image pack, Sitelinks, Video, Image, Find results on, Related searches, Discussions and forums",transactional,Organic
grand car market,75,75,390,22,0.37,https://www.grange.co.uk/,0,0,0.00,0.69,583000000,"[100,100,100,81,54,81,81,81,81,81,81,100]",2025-10-02,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
land rover defender finance,58,58,390,20,1.22,https://www.grange.co.uk/land-rover/new-cars/defender,0,0,0.00,1,7920000,"[81,81,100,100,100,100,81,81,66,100,81,66]",2025-08-19,"Image pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
aston martin db12 for sale,9,9,390,9,0.22,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db12,9,0.04,1.00,0.99,95,"[54,66,54,81,66,54,54,44,54,44,54,66]",2025-08-15,"Image pack, Video, Image, Related searches",transactional,Organic
woburn triumph motorcycles,9,9,390,20,0.14,https://www.grange.co.uk/triumph/used-bikes?branch=pure-triumph-woburn,2,0.01,0.00,0.05,69,"[44,54,54,35,54,28,35,54,81,81,100,81]",2025-08-22,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches","commercial, informational",Organic
woburn triumph motorcycles,4,4,390,20,0.14,https://www.grange.co.uk/triumph/find-a-dealer/pure-triumph-woburn,5,0.02,0.00,0.05,69,"[44,54,54,35,54,28,35,54,81,81,100,81]",2025-08-22,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches","commercial, informational",Organic
mercedes benz hybrid,37,37,390,28,0.72,https://www.grange.co.uk/used-cars/mercedes-benz/hybrid,0,0,0.00,1,210000000,"[19,19,23,29,23,23,100,100,100,81,81,81]",2025-09-04,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",Organic
range rover sidcup,48,48,390,16,1.60,https://www.grange.co.uk/land-rover,0,0,0.00,0.91,51,"[81,66,66,81,66,54,81,66,81,81,81,54]",2025-08-22,"Knowledge panel, Image pack, Image, Related searches","informational, transactional",Organic
land rover range rover sport suv,30,30,390,41,1.73,https://www.grange.co.uk/land-rover/new-cars/range-rover-sport,0,0,0.00,0.83,52700000,"[11,13,11,7,8,11,37,8,2,13,100,52]",2025-08-27,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums","informational, transactional",Organic
range range evoque,30,30,390,20,1.64,https://www.grange.co.uk/land-rover/used-cars/land-rover/range-rover-evoque,0,0,0.00,0.89,28200000,"[5,5,7,8,4,66,7,1,100,7,0,3]",2025-08-28,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview","informational, transactional",Organic
range range evoque,15,15,390,20,1.64,https://www.grange.co.uk/land-rover/new-cars/range-rover-evoque,0,0,0.00,0.89,28200000,"[5,5,7,8,4,66,7,1,100,7,0,3]",2025-08-28,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview","informational, transactional",Organic
bora car,29,29,390,27,0.00,https://www.grange.co.uk/used-cars/volkswagen/bora,0,0,0.00,0.29,103000000,"[54,66,66,54,66,54,66,66,81,81,66,28]",2025-08-20,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",Organic
aston martin headquarters,47,47,390,46,0.00,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-birmingham,0,0,0.00,0.03,2790000,"[44,36,44,44,44,29,36,44,44,54,44,36]",2025-08-19,"Knowledge panel, Image pack, Sitelinks, Video, Featured snippet, Image, Related searches",informational,Organic
land rover discovery sport hse,4,4,390,15,0.42,https://www.grange.co.uk/land-rover/used-cars/land-rover/discovery-sport,9,0.04,3.00,0.94,100,"[66,54,66,66,54,36,54,44,54,54,54,54]",2025-09-08,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
aston martin dealers,81,81,390,41,1.12,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-hatfield,0,0,0.00,0.53,17800000,"[24,45,45,20,36,20,24,20,20,20,20,30]",2025-08-22,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Image pack
aston martin dealers,7,7,390,41,1.12,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-brentwood,2,0.01,2.00,0.53,17800000,"[24,45,45,20,36,20,24,20,20,20,20,30]",2025-08-22,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Organic
aston martin dealers,6,6,390,41,1.12,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-birmingham,2,0.01,2.00,0.53,17800000,"[24,45,45,20,36,20,24,20,20,20,20,30]",2025-08-22,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Organic
aston martin dealers,1,1,390,41,1.12,https://www.grange.co.uk/dealerships/aston-martin-edinburgh?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_content=website_button,7,0.03,7.00,0.53,17800000,"[24,45,45,20,36,20,24,20,20,20,20,30]",2025-08-22,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Local pack
range rover servicing,6,6,390,26,5.27,https://www.grange.co.uk/land-rover/servicing,3,0.01,15.00,0.66,144000000,"[29,66,66,44,100,29,36,54,100,81,44,44]",2025-08-19,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
range rover vogue autobiography,18,18,390,20,0.34,https://www.grange.co.uk/land-rover/used-cars/land-rover/range-rover,1,0,0.00,1,3300000,"[44,44,44,44,54,54,66,44,54,44,54,54]",2025-08-27,"Image pack, Sitelinks, Video, Image, Related searches","commercial, informational",Organic
range rover own,74,74,390,32,0.00,https://www.grange.co.uk/land-rover,0,0,0.00,0.35,37700000,"[48,32,32,100,39,32,32,26,32,48,32,26]",2025-08-27,"Image pack, Video, Image, People also ask, Related searches, AI overview","informational, transactional",Organic
new subaru forester,26,26,390,35,0.54,https://www.grange.co.uk/subaru/new-cars/forester,0,0,0.00,0.53,59400000,"[15,15,19,44,44,54,81,100,100,54,81,66]",2025-09-02,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums",informational,Organic
en5 5tz,40,40,390,18,0.00,https://www.grange.co.uk/jaguar/find-a-dealer/jaguar-barnet,0,0,0.00,0.11,26100,"[81,81,66,66,54,66,100,81,54,54,66,44]",2025-08-28,"Knowledge panel, Image, Related searches",informational,Organic
en5 5tz,12,12,390,18,0.00,https://www.grange.co.uk/land-rover/find-a-dealer/land-rover-barnet,5,0.02,0.00,0.11,26100,"[81,81,66,66,54,66,100,81,54,54,66,44]",2025-08-28,"Knowledge panel, Image, Related searches",informational,Organic
vauxhall car range,26,26,390,41,0.39,https://www.grange.co.uk/vauxhall/offers,0,0,0.00,1,36100000,"[44,44,44,44,54,66,81,66,81,66,81,100]",2025-10-15,"Image pack, Image, Ads bottom, People also ask, Related searches","informational, transactional",Organic
northampton jaguar cars,41,41,390,16,0.84,https://www.grange.co.uk/jaguar/used-cars/jaguar/mazda-northampton-motors,0,0,0.00,0.81,364000,"[100,66,44,81,66,66,81,44,23,66,54,44]",2025-09-09,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
lamborghini temarario,17,17,390,38,0.00,https://www.grange.co.uk/lamborghini/new-cars/temerario,0,0,0.00,0.06,5590000,"[0,100,0,0,0,0,5,0,0,0,0]",2025-08-27,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",Organic
jaguar cabriolet f type,36,36,390,21,0.16,https://www.grange.co.uk/used-cars/jaguar-f-type/convertible,0,0,0.00,1,5560000,"[100,67,67,67,55,55,0,0,0,0,3,3]",2025-08-31,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
lamborghini first car,34,34,390,45,0.00,https://www.grange.co.uk/lamborghini/ferruccio-lamborghini,0,0,0.00,0.03,83700000,"[16,4,16,20,30,4,5,62,100,13,10,6]",2025-09-04,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
lamborghini first car,8,8,390,45,0.00,https://www.grange.co.uk/lamborghini/heritage,8,0.04,0.00,0.03,83700000,"[16,4,16,20,30,4,5,62,100,13,10,6]",2025-09-04,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
grange garage,8,8,390,15,0.00,https://www.grange.co.uk/used-cars,5,0.02,0.00,0.04,16100000,"[100,81,66,81,66,54,66,44,54,81,54,66]",2025-08-19,"Local pack, Image pack, Sitelinks, Video, Image, Find results on, Related searches",commercial,Organic
grange garage,3,3,390,15,0.00,https://www.grange.co.uk/,11,0.05,0.00,0.04,16100000,"[100,81,66,81,66,54,66,44,54,81,54,66]",2025-08-19,"Local pack, Image pack, Sitelinks, Video, Image, Find results on, Related searches",commercial,Organic
bmw 1 series hybrid,52,52,390,18,0.42,https://www.grange.co.uk/used-cars/bmw/1-series,0,0,0.00,1,129000000,"[54,44,44,54,54,54,66,54,81,54,54,44]",2025-08-22,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
mercedes benz grangemouth,64,64,390,18,1.30,https://www.grange.co.uk/used-cars/mercedes-benz,0,0,0.00,0.69,73,"[66,44,54,54,44,54,54,66,54,54,44,54]",2025-08-29,"Knowledge panel, Image pack, Image, Related searches","informational, transactional",Organic
land rover used car,34,34,390,36,1.08,https://www.grange.co.uk/land-rover/used-cars,0,0,0.00,1,130000000,"[59,72,59,48,48,72,59,14,17,21,9,7]",2025-09-10,"Local pack, Image pack, Video, Image, Ads bottom, Find results on, Related searches, Ads middle",commercial,Organic
toyota automatic,23,23,390,26,0.34,https://www.grange.co.uk/used-cars/toyota/automatic,0,0,0.00,1,357000000,"[66,66,54,66,44,54,54,81,100,81,66,66]",2025-08-24,"Image pack, Video, Image, Related searches",transactional,Organic
mazda northants,30,30,390,23,0.97,https://www.grange.co.uk/jaguar/used-cars/jaguar/mazda-northampton-motors,0,0,0.00,0.72,18600,"[66,66,81,66,66,66,81,28,100,100,100,54]",2025-08-27,"Local pack, Image pack, Related searches",navigational,Organic
mazda northants,21,21,390,23,0.97,https://www.grange.co.uk/used-cars/mazda-northampton-motors,0,0,0.00,0.72,18600,"[66,66,81,66,66,66,81,28,100,100,100,54]",2025-08-27,"Local pack, Image pack, Related searches",navigational,Organic
lamborgini for sale,52,52,390,29,0.18,https://www.grange.co.uk/lamborghini/used-cars/lamborghini,0,0,0.00,0.99,148000000,"[100,36,20,36,24,30,55,8,3,2,2,2]",2025-08-31,"Knowledge panel, Sitelinks, Image, Related searches",transactional,Organic
county motor works,32,32,390,13,1.38,https://www.grange.co.uk/used-cars/mazda/county-motor-works-vauxhall,0,0,0.00,0.02,143000000,"[36,44,54,54,36,29,54,54,67,44,19,29]",2025-08-19,"Knowledge panel, Image pack, Related searches","informational, transactional",Organic
county motor works,8,8,390,13,1.38,https://www.grange.co.uk/jaguar/used-cars/jaguar/county-motor-works-vauxhall,9,0.04,12.00,0.02,143000000,"[36,44,54,54,36,29,54,54,67,44,19,29]",2025-08-19,"Knowledge panel, Image pack, Related searches","informational, transactional",Organic
db9 car for sale,47,47,390,23,0.08,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db9,0,0,0.00,1,1300000,"[66,100,66,81,66,66,66,35,23,66,81,54]",2025-09-05,"Local pack, Image pack, Sitelinks, Image, Find results on, Related searches",transactional,Organic
lamborghini chelmsford,31,31,390,16,1.79,https://www.grange.co.uk/lamborghini/find-a-dealer/lamborghini-chelmsford,0,0,0.00,0.1,72,"[66,81,66,66,66,66,81,100,100,100,100,81]",2025-09-08,"Knowledge panel, Image pack, Video, Image, Related searches",informational,Image pack
lamborghini chelmsford,31,31,390,16,1.79,https://www.grange.co.uk/lamborghini/find-a-dealer/lamborghini-chelmsford,0,0,0.00,0.1,72,"[66,81,66,66,66,66,81,100,100,100,100,81]",2025-09-08,"Knowledge panel, Image pack, Video, Image, Related searches",informational,Image pack
lamborghini chelmsford,2,2,390,16,1.79,https://www.grange.co.uk/lamborghini/used-cars?branch=lamborghini-chelmsford,51,0.25,91.00,0.1,72,"[66,81,66,66,66,66,81,100,100,100,100,81]",2025-09-08,"Knowledge panel, Image pack, Video, Image, Related searches",informational,Organic
lamborghini chelmsford,1,1,390,16,1.79,https://www.grange.co.uk/lamborghini/find-a-dealer/lamborghini-chelmsford,96,0.48,171.00,0.1,72,"[66,81,66,66,66,66,81,100,100,100,100,81]",2025-09-08,"Knowledge panel, Image pack, Video, Image, Related searches",informational,Organic
range rover price uk used,33,33,390,21,0.19,https://www.grange.co.uk/land-rover/used-cars/land-rover/range-rover,0,0,0.00,0.78,40300000,"[100,81,66,66,66,66,81,66,81,100,100,81]",2025-08-24,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",transactional,Organic
range rover price uk used,22,22,390,21,0.19,https://www.grange.co.uk/land-rover/used-cars/land-rover,0,0,0.00,0.78,40300000,"[100,81,66,66,66,66,81,66,81,100,100,81]",2025-08-24,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",transactional,Organic
rolls royce wraith coupe,23,23,390,22,0.31,https://www.grange.co.uk/rolls-royce/new-cars/wraith,0,0,0.00,0.67,2810000,"[5,8,41,54,4,10,24,7,3,10,7,7]",2025-08-31,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums",informational,Organic
who owns rolls royce cars,43,43,390,33,0.00,https://www.grange.co.uk/rolls-royce/find-a-dealer/rolls-royce-motor-cars-edinburgh,0,0,0.00,0.02,113000000,"[23,29,36,23,23,29,81,54,81,100,66,54]",2025-08-27,"Instant answer, Knowledge panel, Image pack, Sitelinks, Video, Related searches",informational,Organic
who owns rolls royce cars,30,30,390,33,0.00,https://www.grange.co.uk/rolls-royce/heritage,0,0,0.00,0.02,113000000,"[23,29,36,23,23,29,81,54,81,100,66,54]",2025-08-27,"Instant answer, Knowledge panel, Image pack, Sitelinks, Video, Related searches",informational,Organic
jaguar i pace electric cars,78,78,390,34,0.65,https://www.grange.co.uk/jaguar/used-cars/jaguar/i-pace,0,0,0.00,0.95,11300000,"[13,8,6,6,8,24,36,100,36,24,20,8]",2025-08-27,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums","informational, transactional",Organic
f pace suv used,47,47,390,16,0.59,https://www.grange.co.uk/jaguar/used-cars/jaguar/f-pace,0,0,0.00,1,5170000,"[39,39,32,39,39,39,39,26,100,48,32,26]",2025-08-15,"Image pack, Sitelinks, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
