Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,grange.co.uk,hrowen.co.uk,grange.co.uk (pages),hrowen.co.uk (pages),Results
aston martin dbx for sale uk,Transactional,170,21,0.24,0.99,6,12,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/dbx,https://www.hrowen.co.uk/aston-martin/dbx-range/,500000
aston martin dbx lease,"Commercial, Informational",170,9,0.68,0.62,45,71,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/dbx-range/,565000
aston martin park lane,Informational,170,19,1.01,0.21,36,34,https://www.grange.co.uk/aston-martin/find-a-dealer,https://www.hrowen.co.uk/aston-martin/,7800000
aston martin purchase,Navigational,170,36,0.36,1.00,28,19,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/,18300000
aston martin sales,Transactional,170,26,0.24,1.00,33,10,https://www.grange.co.uk/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,39600000
aston martin second hand cars,Commercial,170,26,0.22,0.78,5,8,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,21400000
aston martin service near me,Transactional,170,40,1.41,0.53,4,16,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-hatfield,https://www.hrowen.co.uk/aston-martin/location/aston-martin-reading/,63700000
aston vantage v12,Informational,170,31,0.00,0.61,33,36,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/v12-vantage,https://www.hrowen.co.uk/aston-martin/vantage-range/,4610000
bentley bentayga black,Informational,170,34,1.09,0.80,6,90,https://www.grange.co.uk/bentley/new-cars/bentayga/s-black-edition,https://www.hrowen.co.uk/bentley/bentayga-range/,5550000
bentley bentayga second hand,Commercial,170,20,0.29,0.99,28,2,https://www.grange.co.uk/bentley/used-cars/bentley/bentayga,https://www.hrowen.co.uk/bentley/used-cars/bentayga/,593000
bentley car for sale,Transactional,170,31,0.26,1.00,51,3,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,60100000
bentley car price in uk,Transactional,170,39,1.10,0.95,19,6,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/model-range/,19600000
bentley career,Commercial,170,34,0.00,0.00,13,16,https://careers.grange.co.uk/bentley,https://www.hrowen.co.uk/careers/,99
bentley cars for sale near me,Transactional,170,29,0.28,1.00,32,7,https://www.grange.co.uk/bentley/find-a-dealer/bentley-chelmsford,https://www.hrowen.co.uk/bentley/used-cars/,59000000
bentley continental gt green,Informational,170,22,1.31,0.79,31,32,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,8690000
bentley continental gt price uk,"Commercial, Navigational",170,22,1.18,0.96,8,2,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,1720000
bentley continental gt used car,Commercial,170,17,0.23,1.00,9,4,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/continental-gt/,4960000
bentley continental gt used cars,Commercial,170,26,0.23,1.00,7,2,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/continental-gt/,5350000
bentley continental gt v8s,"Commercial, Informational",170,22,0.37,0.57,88,11,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gtc-range/,930000
bentley continental gt w12,"Commercial, Informational",170,39,0.79,0.87,49,17,https://www.grange.co.uk/bentley/new-cars/continental-gt/speed-edition-12,https://www.hrowen.co.uk/bentley/continental-gt-range/,2120000
bentley dealer near me,"Navigational, Transactional",170,34,1.47,0.79,7,3,https://www.grange.co.uk/bentley/find-a-dealer/bentley-chelmsford,https://www.hrowen.co.uk/bentley/,21500000
bentley dealers used cars,Commercial,170,36,0.63,0.98,6,3,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/used-cars/,26100000
bentley for sale near me,Transactional,170,22,0.28,1.00,24,19,https://www.grange.co.uk/bentley/find-a-dealer/bentley-tunbridge-wells,https://www.hrowen.co.uk/bentley/,72700000
bentley gt continental used,Commercial,170,18,0.23,1.00,19,2,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/continental-gt/,6090000
bentley gt speed,Commercial,170,49,0.85,0.86,7,14,https://www.grange.co.uk/bentley/new-cars/continental-gt/speed-edition-12,https://www.hrowen.co.uk/bentley/continental-gt-range/continental-gt-speed/,20500000
bentley modelle,Informational,170,51,0.00,0.19,91,90,https://www.grange.co.uk/bentley/past-models,https://www.hrowen.co.uk/bentley/model-range/,91
bentley motors accessories,"Informational, Transactional",170,33,0.38,1.00,44,22,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/aftersales/parts/,13000000
bentley motors ltd head office,Informational,170,54,0.00,0.05,43,27,https://www.grange.co.uk/bentley/100-years,https://www.hrowen.co.uk/bentley/location/jack-barclay-bentley-sales/,38700000
bentley motors shop,Navigational,170,41,0.82,0.62,37,32,https://www.grange.co.uk/bentley/find-a-dealer/bentley-chelmsford,https://www.hrowen.co.uk/bentley/,16600000
bentley phantom,"Informational, Transactional",170,41,1.12,0.61,81,16,https://www.grange.co.uk/rolls-royce/new-cars/phantom,https://www.hrowen.co.uk/rolls-royce/phantom-range/,8460000
bentley service,Commercial,170,23,1.50,0.42,17,4,https://www.grange.co.uk/bentley/servicing,https://www.hrowen.co.uk/specialist-cars/aftersales/fixed-price-servicing/,82100000
bentley service near me,Transactional,170,21,1.62,0.76,7,45,https://www.grange.co.uk/bentley/find-a-dealer/bentley-chelmsford,https://www.hrowen.co.uk/bentley/location/bentley-surrey-service/,109000000
bently bentaga,"Informational, Transactional",170,39,1.03,0.91,32,7,https://www.grange.co.uk/bentley/new-cars/bentayga,https://www.hrowen.co.uk/bentley/bentayga-range/,6970000
brand new lamborghini,Navigational,170,54,0.00,0.01,7,6,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/model-range/,76100000
car lambo,Navigational,170,38,0.75,0.64,8,7,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/used-cars/,24800000
car lamborghini urus,"Informational, Transactional",170,61,0.20,0.81,13,22,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,17800000
car rolls royce ghost,Informational,170,33,0.30,0.58,8,6,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/ghost-series-ii/,13500000
careers auto,Commercial,170,50,0.77,0.20,60,81,https://careers.grange.co.uk/,https://www.hrowen.co.uk/careers/,5140000000
careers bentley motors,Commercial,170,21,0.00,0.00,12,53,https://careers.grange.co.uk/bentley,https://www.hrowen.co.uk/careers/,7500000
cars lamborghini,Informational,170,59,0.75,0.64,9,8,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/used-cars/,149000000
convertible aston martin vantage,"Informational, Transactional",170,27,0.32,0.70,65,21,https://www.grange.co.uk/aston-martin/used-cars/details/aston-martin/vantage/2dr-zf-8-speed-auto?regno=LN21YWE,https://www.hrowen.co.uk/aston-martin/vantage-range/,4760000
convertible bentley,"Informational, Transactional",170,26,1.16,1.00,44,26,https://www.grange.co.uk/bentley/used-cars/bentley/continental-gt-convertible,https://www.hrowen.co.uk/bentley/continental-gtc-range/,28300000
cost for a bentley,Informational,170,28,1.08,0.80,30,6,https://www.grange.co.uk/bentley/new-cars/continental-gt/speed-edition-12,https://www.hrowen.co.uk/bentley/model-range/,148000000
cost of a rolls-royce,"Commercial, Informational",170,35,0.00,0.00,31,15,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,106000000
cost of new rolls royce,Informational,170,31,0.37,0.05,22,4,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,49100000
cost of rolls royce,Informational,170,36,0.34,0.39,40,18,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,46400000
cullinan black badge,Informational,170,24,0.00,0.64,9,3,https://www.grange.co.uk/rolls-royce/new-cars/cullinan/cullinan-black-badge,https://www.hrowen.co.uk/rolls-royce/cullinan-range/black-badge-cullinan/,2770000
cullinan price,"Commercial, Navigational",170,31,0.00,0.73,7,24,https://www.grange.co.uk/rolls-royce/new-cars/cullinan/cullinan-black-badge,https://www.hrowen.co.uk/rolls-royce/cullinan-range/cullinan/,8280000
custom lamborghini,"Informational, Transactional",170,44,1.03,0.11,13,81,https://www.grange.co.uk/lamborghini/ad-personam,https://www.hrowen.co.uk/lamborghini/model-range/,41000000
db12 for sale,Transactional,170,17,0.22,1.00,25,2,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db12,https://www.hrowen.co.uk/aston-martin/db12-range/,1080000
grange prestige cars,Navigational,170,29,0.00,0.39,5,38,https://www.grange.co.uk/,https://www.hrowen.co.uk/,432000
hatfields landrover pickering,"Informational, Transactional",170,19,0.81,0.79,32,80,https://www.grange.co.uk/land-rover/find-a-dealer/land-rover-hatfield,https://www.hrowen.co.uk/location/h-r-owen-hatfield/,97
how much does rolls royce car cost,Informational,170,41,0.00,0.43,84,4,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/model-range/,21100000
how much does the rolls royce cost,Informational,170,39,0.00,0.43,66,5,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,42900000
how much for a bentley car,Informational,170,28,1.08,0.54,41,7,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/model-range/,117000000
how much is a aventador lamborghini,Informational,170,21,0.00,0.54,56,6,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/aventador,https://www.hrowen.co.uk/lamborghini/used-cars/,24500000
interior of bentley car,Informational,170,25,0.00,0.10,17,54,https://www.grange.co.uk/bentley/craftsmanship,https://www.hrowen.co.uk/bentley/news/the-bentley-black-edition/,68200000
jardine motor group careers,Commercial,170,16,0.00,0.01,24,48,https://careers.grange.co.uk/,https://www.hrowen.co.uk/careers/,103000
lambagini,Navigational,170,65,1.16,0.64,22,5,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/,106000000
lambergini,Navigational,170,61,1.16,0.64,13,5,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/,222000000
lambo urus s,Informational,170,36,0.25,0.76,33,21,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/urus-s/,3780000
lamboghini price,"Commercial, Navigational",170,37,0.24,0.67,11,5,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/used-cars/,137000000
lamborghini 4x4 price,Transactional,170,36,0.37,0.96,7,4,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,26000000
lamborghini apprenticeships,Commercial,170,44,0.00,0.01,28,8,https://careers.grange.co.uk/,https://www.hrowen.co.uk/careers/,69
lamborghini aventador price uk,Transactional,170,24,0.22,0.46,39,10,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/aventador,https://www.hrowen.co.uk/lamborghini/used-cars/,94
lamborghini buy,Transactional,170,35,0.29,0.99,41,3,https://www.grange.co.uk/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,97700000
lamborghini career,Commercial,170,26,0.00,0.00,3,9,https://careers.grange.co.uk/lamborghini,https://www.hrowen.co.uk/careers/,13300000
lamborghini dealers,Commercial,170,28,1.02,0.42,6,2,https://www.grange.co.uk/lamborghini,https://www.hrowen.co.uk/lamborghini/,25900000
lamborghini dealership uk,Commercial,170,32,1.20,0.60,5,1,https://www.grange.co.uk/lamborghini/find-a-dealer/lamborghini-tunbridge-wells,https://www.hrowen.co.uk/lamborghini/,11500000
lamborghini new model,Navigational,170,53,0.00,0.10,12,3,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/model-range/,175000000
lamborghini prototype cars,Informational,170,20,0.00,0.07,52,80,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/news/lamborghini-unveils-sc63-hybrid-racing-prototype-to-compete-at-apex-of-endurance/,10
lamborghini sports cars,Informational,170,58,0.00,0.65,26,5,https://www.grange.co.uk/lamborghini/masterpieces,https://www.hrowen.co.uk/lamborghini/model-range/,78300000
lamborghini urus cost,Commercial,170,41,0.00,0.41,4,8,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,12900000
lamborghini urus suv price,"Commercial, Navigational",170,39,0.31,0.91,12,6,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,8390000
lamborghini vacancies,Commercial,170,27,0.00,0.00,3,7,https://careers.grange.co.uk/lamborghini,https://www.hrowen.co.uk/careers/,98
lamborgihini suv,Navigational,170,51,0.43,0.88,28,6,https://www.grange.co.uk/lamborghini/new-cars/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,107000000
latest aston martin,Navigational,170,40,0.48,0.87,5,22,https://www.grange.co.uk/aston-martin/new-cars,https://www.hrowen.co.uk/aston-martin/model-range/,63600000
latest lamborghini,Navigational,170,56,0.00,0.67,3,6,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/model-range/,243000000
luxury auto dealership,Commercial,170,59,0.94,0.30,8,1,https://www.grange.co.uk/,https://www.hrowen.co.uk/,163000000
luxury used cars,Commercial,170,39,0.38,0.73,5,2,https://www.grange.co.uk/,https://www.hrowen.co.uk/approved-used/,501000000
mclaren careers automotive,"Commercial, Navigational",170,38,0.00,0.00,19,66,https://careers.grange.co.uk/mclaren,https://www.hrowen.co.uk/careers/,9700000
new bentley price,Transactional,170,30,1.07,0.25,13,25,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/model-range/,107000000
new lamborghini urus,"Informational, Transactional",170,53,0.62,0.03,18,9,https://www.grange.co.uk/lamborghini/new-cars/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,22500000
new rolls royce price,Transactional,170,33,0.37,0.05,15,4,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,106000000
new vantage,"Commercial, Informational",170,33,0.62,0.10,17,4,https://www.grange.co.uk/aston-martin/news/new-vantage,https://www.hrowen.co.uk/aston-martin/vantage-range/vantage-coupe/,78100000
pangbourne lamborghini,"Commercial, Informational",170,26,0.68,0.52,59,2,https://www.grange.co.uk/lamborghini,https://www.hrowen.co.uk/lamborghini/location/lamborghini-pangbourne/,66
price for aventador,"Commercial, Navigational",170,17,0.05,0.51,8,30,https://www.grange.co.uk/lamborghini/new-cars/aventador/lp-780-4-ultimae,https://www.hrowen.co.uk/lamborghini/used-cars/,8920000
price of bentley cars,Commercial,170,27,1.07,0.87,6,7,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/model-range/,55600000
price of lamborghini,"Commercial, Navigational",170,37,0.24,0.67,23,4,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/used-cars/,211000000
repossessed aston martin for sale,"Informational, Transactional",170,25,0.13,0.96,17,16,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,52
repossessed bentley for sale uk,Transactional,170,24,0.26,1.00,32,4,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,79
rolls royce automobiles for sale,Transactional,170,23,0.25,0.99,41,4,https://www.grange.co.uk/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,40700000
rolls royce car price new,Transactional,170,29,0.37,0.05,28,2,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,51200000
rolls royce cost car,Informational,170,35,0.00,0.27,37,5,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/model-range/,23000000
rolls royce cullinan black,Informational,170,43,0.00,0.44,8,4,https://www.grange.co.uk/rolls-royce/new-cars/cullinan/cullinan-black-badge,https://www.hrowen.co.uk/rolls-royce/cullinan-range/black-badge-cullinan/,7190000
rolls royce dawn car,"Informational, Transactional",170,28,0.06,0.60,6,19,https://www.grange.co.uk/rolls-royce/new-cars/dawn,https://www.hrowen.co.uk/news/dawn-silver-bullet-collection/,4330000
rolls royce ghost black,Informational,170,18,0.00,0.47,5,4,https://www.grange.co.uk/rolls-royce/new-cars/ghost/ghost-black-badge,https://www.hrowen.co.uk/rolls-royce/ghost-range/black-badge-ghost/,9600000
rolls royce ghost ghost,"Informational, Transactional",170,29,0.41,0.60,7,11,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/,18800000
rolls royce motors,"Commercial, Navigational",170,64,0.00,0.22,20,9,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/,61600000
rolls royce phantom price uk,"Commercial, Navigational",170,26,0.10,0.62,8,2,https://www.grange.co.uk/rolls-royce/new-cars/phantom/phantom-ewb,https://www.hrowen.co.uk/rolls-royce/phantom-range/,2180000
rolls royce price in uk,Transactional,170,26,0.28,0.81,21,3,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/model-range/,25600000
rolls royce service,Commercial,170,28,2.42,0.14,20,4,https://www.grange.co.uk/rolls-royce/servicing,https://www.hrowen.co.uk/rolls-royce/aftersales/servicing/,71700000
rolls royce spectre black badge,"Informational, Transactional",170,32,0.00,0.45,12,5,https://www.grange.co.uk/rolls-royce/new-cars/black-badge/spectre,https://www.hrowen.co.uk/rolls-royce/spectre-range/spectre-black-badge/,1280000
rolls royce spectre price uk,"Navigational, Transactional",170,24,0.00,0.79,14,19,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce/spectre,https://www.hrowen.co.uk/rolls-royce/spectre-range/spectre/,489000
rolls toyce,Navigational,170,80,0.90,0.25,25,11,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,141000000
rolls-royce car,Navigational,170,53,0.00,0.00,15,4,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,128000000
rolls.royce phantom,"Informational, Transactional",170,42,0.00,0.00,20,5,https://www.grange.co.uk/rolls-royce/new-cars/phantom/phantom-ewb,https://www.hrowen.co.uk/rolls-royce/phantom-range/,16100000
royals roice,Navigational,170,82,0.90,0.25,29,9,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,158000000
royce ghost car,Informational,170,20,0.41,0.60,10,6,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/,13800000
rr cars,"Commercial, Navigational",170,38,0.00,0.55,28,22,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/,62800000
rr ghost series 2,Informational,170,18,1.35,0.71,3,4,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/ghost-series-ii/,41800000
rr phantom 5,"Commercial, Informational",170,19,0.00,0.14,94,68,https://www.grange.co.uk/rolls-royce/new-cars/phantom,https://www.hrowen.co.uk/rolls-royce/phantom-range/,20800000
rr phantom black,Informational,170,18,0.00,0.26,10,81,https://www.grange.co.uk/rolls-royce/new-cars/phantom/phantom-ewb,https://www.hrowen.co.uk/news/new-rolls-royce-phantom/,17600000
second hand bentley cars for sale,Transactional,170,19,0.27,1.00,28,2,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,17300000
second hand bentleys for sale,Transactional,170,27,0.27,1.00,29,2,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,141000
second hand lamborghini,Commercial,170,29,0.05,0.89,9,6,https://www.grange.co.uk/lamborghini/used-cars/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,33600000
sell my aston martin,Commercial,170,6,11.01,0.52,62,15,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-hatfield,https://www.hrowen.co.uk/aston-martin/sell-my-car/,34900000
spyder huracan,Informational,170,23,0.00,0.57,37,3,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/huracan-evo-spyder,https://www.hrowen.co.uk/lamborghini/huracan-range/huracan-evo-spyder/,6150000
supercar lambo,"Informational, Transactional",170,47,0.00,0.25,42,14,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/,62700000
suv lamborghini,Navigational,170,53,0.26,0.78,25,5,https://www.grange.co.uk/lamborghini/new-cars/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,105000000
types of lamborghini,Informational,170,53,0.00,0.53,14,4,https://www.grange.co.uk/lamborghini/masterpieces,https://www.hrowen.co.uk/lamborghini/model-range/,34600000
used aston martin for sale uk,Transactional,170,35,0.16,0.88,10,7,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,20800000
used bentley cars for sale uk,Transactional,170,30,0.33,1.00,26,3,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/used-cars/,10700000
used bently for sale,Transactional,170,22,0.35,1.00,35,5,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,31900000
used rolls royce ghost,Commercial,170,16,0.37,0.37,12,2,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce/ghost-series-ii,https://www.hrowen.co.uk/rolls-royce/ghost-range/,5000000
v12 vantage for sale,Transactional,170,16,0.16,0.91,42,14,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/v12-vantage,https://www.hrowen.co.uk/aston-martin/vantage-range/,71
vanquish v12 aston martin,Navigational,170,50,0.00,0.63,35,28,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/vanquish,https://www.hrowen.co.uk/aston-martin/used-cars/vanquish/,2930000
watford land rover,Informational,170,22,0.82,0.76,17,70,https://www.grange.co.uk/land-rover,https://www.hrowen.co.uk/,526000
who owned rolls royce,Informational,170,34,0.00,0.00,18,20,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/used-cars/,148000000
who owns bentley car company,Informational,170,39,1.07,0.01,10,29,https://www.grange.co.uk/bentley/heritage,https://www.hrowen.co.uk/bentley/,65100000
1930's bentley cars,"Commercial, Informational",140,21,0.00,0.00,81,60,https://www.grange.co.uk/bentley/heritage,https://www.hrowen.co.uk/bentley/news/bentley-speed-six-continuation-series-debuts-at-goodwood/,5830000
2006 bentley gt,"Informational, Transactional",140,17,0.27,0.96,52,48,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,19600000
2020 rolls-royce cullinan black badge,"Commercial, Informational",140,22,0.00,0.00,9,48,https://www.grange.co.uk/rolls-royce/new-cars/cullinan/cullinan-black-badge,https://www.hrowen.co.uk/rolls-royce/cullinan-range/black-badge-cullinan/,1410000
2023 lamborghini urus for sale,Transactional,140,15,0.00,0.86,29,35,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,5670000
a lambo,"Informational, Transactional",140,66,0.00,0.81,30,29,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/model-range/,25900000
all cars of aston martin,Commercial,140,33,0.00,0.09,22,28,https://www.grange.co.uk/aston-martin/heritage,https://www.hrowen.co.uk/car_brand/aston-martin/,85700000
astin martin db 11,Informational,140,15,0.24,0.63,5,27,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db11,https://www.hrowen.co.uk/aston-martin/used-cars/db11/,9250000
astin martin db11,Commercial,140,21,0.24,0.63,4,17,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db11,https://www.hrowen.co.uk/aston-martin/used-cars/db11/,3670000
aston car,Informational,140,47,0.00,0.48,14,18,https://www.grange.co.uk/aston-martin/new-cars,https://www.hrowen.co.uk/aston-martin/,209000000
aston dbs for sale,Transactional,140,19,0.13,1.00,41,12,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/dbs,https://www.hrowen.co.uk/aston-martin/used-cars/,2690000
aston martin ad for used cars,Commercial,140,16,0.00,0.10,21,19,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,38300000
aston martin black vantage,"Commercial, Informational",140,13,0.00,0.58,87,37,https://www.grange.co.uk/used-cars/details/aston-martin?regno=KR24WCV,https://www.hrowen.co.uk/aston-martin/vantage-range/,15600000
aston martin certified pre owned,Transactional,140,29,0.31,0.63,6,10,https://www.grange.co.uk/aston-martin/timeless,https://www.hrowen.co.uk/aston-martin/used-cars/,6000000
aston martin cpo,"Informational, Transactional",140,24,0.31,0.63,6,38,https://www.grange.co.uk/aston-martin/timeless,https://www.hrowen.co.uk/aston-martin/used-cars/,993000
aston martin db 12 price,Commercial,140,18,0.48,0.74,31,23,https://www.grange.co.uk/aston-martin/new-cars/db12,https://www.hrowen.co.uk/aston-martin/db12-range/db12-volante/,3120000
aston martin db10 price,Transactional,140,29,0.00,0.70,19,39,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,96
aston martin garage,"Commercial, Navigational",140,41,1.67,0.20,5,10,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-birmingham,https://www.hrowen.co.uk/aston-martin/,28700000
aston martin iq price,Commercial,140,26,0.00,0.05,22,85,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/cygnet,https://www.hrowen.co.uk/aston-martin/used-cars/,2480000
aston martin mayfair,Informational,140,23,1.96,0.26,61,43,https://www.grange.co.uk/aston-martin/find-a-dealer,https://www.hrowen.co.uk/ferrari/location/ferrari-mayfair/,812000
aston martin pangbourne,"Commercial, Informational",140,20,0.79,0.97,34,2,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-brentwood,https://www.hrowen.co.uk/aston-martin/location/aston-martin-reading/,10
aston martin sale,Transactional,140,25,0.24,1.00,22,3,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,73800000
aston martin second hand car ad,Commercial,140,22,0.00,0.10,64,15,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,51500000
aston martin service centre manchester,Informational,140,15,0.00,0.08,33,31,https://www.grange.co.uk/aston-martin/servicing,https://www.hrowen.co.uk/locations/,598000
aston martin service cost,Informational,140,6,0.67,0.22,9,1,https://www.grange.co.uk/aston-martin/servicing,https://www.hrowen.co.uk/aston-martin/aftersales/servicing/,19300000
aston martin showroom,"Commercial, Navigational",140,39,0.85,0.54,6,12,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-birmingham,https://www.hrowen.co.uk/aston-martin/,23000000
